CHAMP;SEXE;ANNEE_1962_2019;AGE_ATTEINT_R;DECES
FE;E;1994;DEC;528121
FE;E;1994;D0;3688
FE;E;1994;D1;982
FE;E;1994;D2;315
FE;E;1994;D3;185
FE;E;1994;D4;160
FE;E;1994;D5;152
FE;E;1994;D6;149
FE;E;1994;D7;136
FE;E;1994;D8;151
FE;E;1994;D9;114
FE;E;1994;D10;131
FE;E;1994;D11;121
FE;E;1994;D12;147
FE;E;1994;D13;181
FE;E;1994;D14;212
FE;E;1994;D15;224
FE;E;1994;D16;262
FE;E;1994;D17;379
FE;E;1994;D18;436
FE;E;1994;D19;583
FE;E;1994;D20;671
FE;E;1994;D21;788
FE;E;1994;D22;832
FE;E;1994;D23;820
FE;E;1994;D24;797
FE;E;1994;D25;861
FE;E;1994;D26;879
FE;E;1994;D27;896
FE;E;1994;D28;949
FE;E;1994;D29;1040
FE;E;1994;D30;1149
FE;E;1994;D31;1200
FE;E;1994;D32;1183
FE;E;1994;D33;1204
FE;E;1994;D34;1317
FE;E;1994;D35;1371
FE;E;1994;D36;1390
FE;E;1994;D37;1563
FE;E;1994;D38;1634
FE;E;1994;D39;1678
FE;E;1994;D40;1776
FE;E;1994;D41;1872
FE;E;1994;D42;2033
FE;E;1994;D43;2205
FE;E;1994;D44;2464
FE;E;1994;D45;2652
FE;E;1994;D46;2774
FE;E;1994;D47;2958
FE;E;1994;D48;3184
FE;E;1994;D49;2663
FE;E;1994;D50;2741
FE;E;1994;D51;2902
FE;E;1994;D52;2919
FE;E;1994;D53;2650
FE;E;1994;D54;3075
FE;E;1994;D55;3656
FE;E;1994;D56;3811
FE;E;1994;D57;4089
FE;E;1994;D58;4406
FE;E;1994;D59;4850
FE;E;1994;D60;5292
FE;E;1994;D61;5706
FE;E;1994;D62;6229
FE;E;1994;D63;6868
FE;E;1994;D64;7384
FE;E;1994;D65;7487
FE;E;1994;D66;8199
FE;E;1994;D67;8462
FE;E;1994;D68;9021
FE;E;1994;D69;9669
FE;E;1994;D70;10099
FE;E;1994;D71;10477
FE;E;1994;D72;11435
FE;E;1994;D73;12450
FE;E;1994;D74;13906
FE;E;1994;D75;8806
FE;E;1994;D76;8492
FE;E;1994;D77;7906
FE;E;1994;D78;7865
FE;E;1994;D79;10719
FE;E;1994;D80;16416
FE;E;1994;D81;17833
FE;E;1994;D82;18548
FE;E;1994;D83;18024
FE;E;1994;D84;19190
FE;E;1994;D85;19232
FE;E;1994;D86;19463
FE;E;1994;D87;18021
FE;E;1994;D88;17537
